Country,2019_Complaints,2019_Losses,2020_Complaints,2020_Losses,2021_Complaints,2021_Losses,2022_Complaints,2022_Losses,2023_Complaints,2023_Losses,2024_Complaints,2024_Losses
PR,655,5929974,1338,7209755,1785,9463928,1594,17211758,1817,21018302,1974,31545772
PS,1784,22483591,2890,25423219,3352,48918464,3210,57796003,3378,69292891,3811,66002407
PT,1119,13870074,2020,12391290,2102,18205913,1918,30859319,2178,28700418,2209,40192274
PY,1913,10967865,2992,13815152,3188,26677869,3768,40114594,3487,33579643,2678,45168957
AE,5503,48101706,7390,81178182,10164,131934602,10042,187062157,11034,244238485,12071,280815215
AF,612,9218912,1095,8257595,1226,17334907,982,36751138,1150,38527355,1373,37684396
AL,1261,15433066,2450,15481216,2114,25528929,1996,37709595,2178,46707757,2218,56062725
AM,2402,25413556,3290,38075278,3551,44322212,3656,90439473,5041,114193013,3466,111820067
AO,730,4218960,1471,4388316,1207,8467667,1222,13342081,1336,15792180,1438,18499615
AR,4555,106144702,6055,96414427,8548,212672747,6752,399595418,8511,372985785,8857,448223952
AT,6942,47306368,10963,41464758,15412,116199865,11239,133170619,9614,163158856,14534,145551079
AU,32061,286422142,55024,399593060,54330,664501941,43610,974136831,60204,1241532793,64390,1491968034
AZ,1991,26944580,4183,39283188,4117,55559557,4385,66376883,4967,85199840,5706,78785876
RO,17366,121565659,25108,152115092,31549,301879874,28823,349041126,31255,552881444,33338,534185027
BA,7100,48232941,11871,35153818,13041,55776221,11519,132423841,13156,148850878,13605,191209005
RS,9268,70529910,17344,81490357,19484,129659345,15267,200497281,17658,199276163,18312,276403955
BD,11970,202462502,16637,257563277,21137,400343277,25822,673263063,26652,522834001,21185,764697415
RU,159459,2404940557,293917,2402832265,264533,5932226222,296978,7664442141,289271,11282113958,324091,11161782401
BE,6275,61314011,10620,81868291,11842,142566044,10859,217821448,11848,184239517,12375,303148050
BG,14189,118129647,26712,111207806,24968,248788813,23525,338814414,26404,443783119,24208,522143452
BH,4666,64103022,10094,93786879,10917,131102183,10208,183388664,11853,234614837,12837,277949474
SA,543,11786077,776,14140050,1115,23930228,1077,25027493,1099,43606854,882,53680633
BR,113294,571530336,163299,749658021,174117,894516056,155028,1644488725,158423,1808030603,248765,2590565434
SC,27698,326719153,47919,410036875,57050,643725512,48057,1004081887,49245,1159638524,72589,1185940522
SE,43233,288695571,61690,330876641,78842,615839471,85983,882362917,81499,876268421,85663,1267709488
SG,61470,1051420849,127548,1102776096,139124,1834545540,137210,3813537684,144002,3828469818,161666,4524535787
SI,358,7257183,472,9239424,654,14206301,657,22294080,658,22218114,553,42624356
BY,5622,40335091,8033,45133084,8498,109694772,8395,143916635,8399,163144740,9192,171624833
SK,1962,18206898,3761,22972759,4336,23441713,3100,45874291,3544,69951666,3770,80074928
BZ,323,2498015,548,4146715,612,5194911,570,8430382,723,9110927,572,12538008
CA,36655,673206760,72594,793553716,73526,1161857486,71962,1857378939,54220,2277570974,71796,2542329668
SV,429,7625619,711,6605847,749,14236747,825,19942832,791,29082153,872,29969414
CH,13044,102495918,18748,125191128,14344,204927558,15949,325885360,21098,270071586,22539,532068262
SZ,6293,36939924,9344,55886392,9415,73533565,8944,107487425,10325,110748724,11752,162203379
CL,1409,49590061,2772,40920566,2624,60731300,2451,113895219,3034,129479043,3501,195674840
CN,449305,2532007781,705690,3061083799,940125,5067323422,764388,7405960835,678224,8997589579,868309,11299124337
CO,6865,69494853,13886,64216061,15699,109189140,15657,164002220,17214,203249469,14814,285005300
CR,414,4698147,659,7090087,815,11177920,770,16613844,1013,20887823,831,24076527
TH,13088,122082224,24580,147126154,28961,247890207,33569,298227985,28129,425375149,31341,534867939
CY,999,5686522,1706,6853488,1762,12133741,1723,17339298,2345,19199921,1838,19483205
CZ,30211,172991200,47442,212529097,68328,431356435,49178,514944367,60855,600351173,60358,718180351
TR,16525,208240641,28232,259185589,30367,392571792,34165,626586973,32269,761641603,37909,901844914
DE,95136,1559415577,148495,2432407746,164061,2226372097,203346,3442137764,178259,5575128098,146731,5279486289
TW,16960,205458284,30125,181937259,23412,403540295,29178,597702921,29158,866022568,28801,843230608
TZ,3052,14935783,4171,21277746,4917,23961290,4362,66303435,6044,60317924,5223,56671764
DK,5670,38097127,9143,37191643,10529,78734767,9954,119930937,10211,117811560,8616,125845887
DO,7728,39752918,14328,43312940,13998,104934081,16645,102536313,14968,168606659,15309,165843869
UA,65629,1290652585,102244,1449674414,110254,2590458387,111410,3585569523,117532,4171982394,160414,5161336915
UG,482,3896487,1164,4550806,1058,6096969,987,10859684,1300,17084728,1188,15809008
US,428355,3302744547,796395,3906715208,829571,6466618579,769205,10304392551,876894,11916782073,946966,14457011740
EC,6226,38064072,8187,47318231,10130,75385877,8819,127649437,9335,142120063,12406,197235551
EE,9712,63377416,16004,81946736,12971,102711672,14979,169799799,18399,210872015,20046,244151604
EG,1426,21281601,1971,29498445,2722,36567441,2216,54836127,2482,68775642,2688,99156499
UZ,731,10115233,1305,11920427,1459,21396751,1487,30686669,1414,31812459,2014,52122352
ES,31731,334885510,61452,479903741,76578,692305090,71212,1027272058,69263,1266113273,85721,1244474108
VE,7541,79397063,11980,113825151,16529,168584712,17147,178891015,11897,306878450,20795,361746565
VG,813,14172668,1840,10930431,1995,33292428,1850,48459372,2123,48451711,2194,44568346
VN,21505,381138510,53039,388987922,40567,624738922,36128,971673882,51411,1166933394,50706,1427085868
FI,14427,179710211,23146,209024271,17554,442442726,29642,513111722,26918,712562892,25890,721920497
FR,160810,967758695,211096,1099523432,204190,2305495866,183886,3043377444,297363,3212220994,208832,4025659986
GB,182883,1342411802,427367,1590816673,357679,2740678986,338939,5037818889,378554,3906023589,481671,6379113995
GE,2158,11248342,2749,13581482,2949,22863562,2760,33926202,3265,34237776,3306,47876570
GH,463,6103570,842,6502100,866,11183262,812,20023734,765,22014808,1229,23766287
GN,316,2942671,546,4484265,528,5487083,597,6648059,655,8907146,660,11773707
GR,5785,41506851,10490,45286391,10211,100042024,9740,115032546,10849,134866182,8408,157051155
GT,3799,23310755,6358,26291913,4657,51948711,6416,53100301,6169,84710783,6949,70899579
HK,113923,746613837,237997,823420937,225295,1732897646,254729,2360701043,242261,3458797505,248576,2863308167
HN,7668,77996271,12844,89984923,13421,152669227,12760,224899521,13581,264720338,10132,282288918
HR,1468,8092129,1658,10595145,2326,18793743,1879,24393753,2280,28853906,3054,34319762
YE,216,2714177,362,2673181,391,6237592,482,9797841,400,9470640,330,9792860
HU,3707,75257661,6227,61005748,6390,140588839,4726,198716263,4484,309048399,7157,274342202
ID,32221,437808210,67619,598180089,57876,972015041,56299,1465738977,59403,2089001077,53925,2432253507
IE,16178,316218523,22105,382100626,25510,544309794,25234,770682201,28289,856830691,31525,1499685797
IL,7870,72760275,9794,89001013,13563,110534215,13754,225640682,14982,281333883,16114,310489542
IN,50473,989343380,104570,1155524769,89534,2062881042,82980,2898740652,96339,3640042741,98092,4164403367
ZA,43982,622385234,89172,867946291,79227,1324036298,76854,2082730216,69950,2521801141,90471,3044360891
IQ,32400,191135345,56447,192067847,59837,313674949,41170,605452580,63177,524182382,70055,803018708
IR,46337,442237902,61727,508268749,74786,843019965,41924,1314548035,69872,1502603054,74119,1614663021
IS,392,3053735,606,3294003,655,5624854,622,7103744,751,11241606,609,14745257
IT,42362,291496322,77806,360913944,99708,667686968,74277,967404316,84197,1192949271,91776,1328578738
ZW,499,2509401,722,5065509,775,6764235,729,10101328,688,9698258,744,14344326
JO,431,3218885,796,3206926,882,5933560,868,8015475,833,11136442,955,11618599
JP,86934,799709881,159519,885281428,161803,1088839354,157306,2253466948,170208,1995347480,182470,3393546251
KE,2410,19120184,3367,24505055,3777,41314068,3176,67202983,3993,68532563,4245,85415845
KG,5029,90758012,8607,127676103,8796,223117975,6508,282601093,11930,316897412,10285,384798989
KH,8019,75168331,10613,80437904,11881,131850198,14054,200408531,10343,241848538,13086,294425335
KN,261,3016590,429,5272765,576,7953931,458,10228299,540,9735063,523,15660694
KR,15419,297651983,28400,361302082,36409,572452315,29216,875621156,35254,877591085,29084,939580849
KZ,9655,215224978,16735,228613185,17175,334183044,13293,490818787,12134,642098116,18341,883976919
LB,4337,39296596,6880,41501339,5665,72133701,8680,116848478,7894,120470644,6248,148621809
LK,331,5241631,728,7133861,779,11815830,878,18551545,750,22450558,974,22772342
LT,5463,58251632,8981,86867615,11359,120550579,9666,188147563,8433,315202293,10050,257790222
LU,612,11718536,1035,14032708,1055,22175186,812,32981892,951,41315061,1099,45198080
LV,4183,27217794,9046,33853664,7659,50261795,5668,79401403,7348,95600192,8140,141459082
LY,1154,7827594,1870,9907911,1825,18937753,1908,25303239,2329,26933272,2359,35814196
MD,5156,29234480,6684,31714733,9518,54354359,5551,100461762,7045,89668934,9086,118929790
MM,2100,12568012,3264,15686730,3638,28074566,2329,36636924,3655,44240763,3960,55325202
MN,1064,26326159,1937,32473442,1514,52528265,2321,98551738,1999,93152308,2253,123314277
MT,642,15863991,1589,19538664,1402,32583587,1547,39902875,1821,56426606,1347,66224639
MV,337,2832717,668,5022918,574,4362630,577,9698308,778,11432984,1057,13304758
MX,6770,118445689,10216,144440919,9626,238351830,12425,365325453,12870,446395507,17969,506585917
MY,3163,53285151,5608,55360884,5851,131437045,6937,187356525,6006,226431418,5931,344158750
MZ,1773,14590391,3510,16760987,3203,29921649,3254,33495225,3320,47474414,4358,60688754
NA,239,2779417,430,5249534,647,7782176,602,11532811,629,12975631,718,16184254
NG,1781,34340619,3074,35736203,2203,56107226,3687,79935245,3556,102912199,3601,118105851
NI,859,5969337,1400,5175487,1584,9004728,1571,17315195,1642,22964248,1453,25763072
NL,49692,572304502,85089,895396401,95372,1437353585,80348,2216753376,83301,3079554598,97619,3320490586
NO,4031,45713939,6733,54542901,10130,64274074,9695,108540856,10366,195621525,11172,187551761
NP,1046,9903690,2207,11937086,2485,19275846,2130,28683974,2992,36890222,2805,43141285
NZ,1662,13317391,3713,18466612,4210,44661082,3972,58125970,4599,70383275,4488,67076977
OM,2814,14755487,3882,14987636,3538,21448883,4068,28911996,4468,49837425,4692,66634987
PA,963,6611775,1634,7821630,1280,14020511,1594,20058995,1272,24329856,1902,28577503
PE,4435,27363061,7339,27058091,8250,53418304,7956,76468535,9527,101727109,9251,91797172
PG,651,6153461,1016,6431254,1065,12315882,1073,18509434,1062,23087850,1353,27177455
PH,5688,179433874,10642,166452785,8192,276511773,11186,382348042,11365,534640287,12797,576134379
PK,28492,181705646,52024,200518146,40944,341893089,48572,681501827,53390,586037584,71700,786591645
PL,21903,390365695,42442,362788093,37317,596864046,48071,1207252948,49459,1040011485,40855,1359253205
